,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date Time
364,zheleznodorozhnyy,-35.1,173.78,75.99,83,75,1.01,NZ,1578862645
365,datong,61.67,96.37,-4.29,95,100,2.75,RU,1578862645
366,oum hadjer,62.53,155.8,-34.51,96,40,2.73,RU,1578862645
367,odessa,55.0,74.1,10.4,85,75,6.71,RU,1578862645
368,tubruq,28.4,-97.75,73.0,61,100,8.99,US,1578862560
369,lengshuijiang,59.64,-151.55,28.4,86,90,4.7,US,1578862645
370,balclutha,56.45,138.17,-4.23,75,98,7.81,RU,1578862645
371,quelimane,25.29,51.53,60.8,48,0,9.17,QA,1578862633
372,manama,11.24,-74.2,71.4,66,10,4.16,CO,1578862646
373,dinsor,17.41,104.78,58.89,95,1,3.76,TH,1578862646
374,dutse,-7.95,110.28,72.81,93,100,4.09,ID,1578862646
375,necochea,46.7,-75.45,9.09,90,90,5.93,CA,1578862646
376,auki,47.93,-97.03,17.6,67,40,11.41,US,1578862646
377,harrismith,-35.17,173.17,75.99,83,93,1.01,NZ,1578862646
378,coquimbo,-2.65,10.0,78.73,80,89,2.73,GA,1578862646
379,victor harbor,2.04,45.34,81.82,81,0,21.03,SO,1578862647
380,berlevag,30.23,-92.07,63.0,59,1,5.64,US,1578862647
